Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ee.fhir.spd.json	2466	-	0	0	0	0	0	0	2	74	0	0	0	0	0	0	0	1	0	0	35	69	0	0	0	1	0	0
fsh-generated/resources/StructureDefinition-ee-spd-practitioner.json	673	31	0	52	0	0	1	0	0	47	0	0	0	0	0	0	0	0	0	0	127	653	0	0	0	5	1	1
fsh-generated/resources/StructureDefinition-ee-tis-device-tjt.json	3278	41	0	80	1	0	0	0	0	48	0	0	1	0	0	0	0	2	0	0	262	508	0	0	0	11	0	0
